Roll_no,Name,Age
2001,kuldeep,23
2002,rohit,24
2003,kunal,22
1,Student_1,19
2,Student_2,20
3,Student_3,21
4,Student_4,22
5,Student_5,18
6,Student_6,19
7,Student_7,20
8,Student_8,21
9,Student_9,22
10,Student_10,18
11,Student_11,19
12,Student_12,20
13,Student_13,21
14,Student_14,22
15,Student_15,18
16,Student_16,19
17,Student_17,20
18,Student_18,21
19,Student_19,22
20,Student_20,18
21,Student_21,19
22,Student_22,20
23,Student_23,21
24,Student_24,22
25,Student_25,18
26,Student_26,19
27,Student_27,20
28,Student_28,21
29,Student_29,22
30,Student_30,18
31,Student_31,19
32,Student_32,20
33,Student_33,21
34,Student_34,22
35,Student_35,18
36,Student_36,19
37,Student_37,20
38,Student_38,21
39,Student_39,22
40,Student_40,18
41,Student_41,19
42,Student_42,20
43,Student_43,21
44,Student_44,22
45,Student_45,18
46,Student_46,19
47,Student_47,20
48,Student_48,21
49,Student_49,22
50,Student_50,18
1,Student_1,19
2,Student_2,20
3,Student_3,21
4,Student_4,22
5,Student_5,18
6,Student_6,19
7,Student_7,20
8,Student_8,21
9,Student_9,22
10,Student_10,18
11,Student_11,19
12,Student_12,20
13,Student_13,21
14,Student_14,22
15,Student_15,18
16,Student_16,19
17,Student_17,20
18,Student_18,21
19,Student_19,22
20,Student_20,18
21,Student_21,19
22,Student_22,20
23,Student_23,21
24,Student_24,22
25,Student_25,18
26,Student_26,19
27,Student_27,20
28,Student_28,21
29,Student_29,22
30,Student_30,18
31,Student_31,19
32,Student_32,20
33,Student_33,21
34,Student_34,22
35,Student_35,18
36,Student_36,19
37,Student_37,20
38,Student_38,21
39,Student_39,22
40,Student_40,18
41,Student_41,19
42,Student_42,20
43,Student_43,21
44,Student_44,22
45,Student_45,18
46,Student_46,19
47,Student_47,20
48,Student_48,21
49,Student_49,22
50,Student_50,18
